# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    1.972774775    4.948252346    4.948252329    3.224855462
    1.982783784    4.938365357    4.938365340    3.222318253
    1.992792793    4.928491613    4.928491596    3.219775575
    2.002801802    4.918631359    4.918631341    3.217227498
    2.012810811    4.908784834    4.908784817    3.214674090
    2.022819820    4.898952275    4.898952258    3.212115419
    2.032828829    4.889133913    4.889133897    3.209551555
    2.042837838    4.879329975    4.879329958    3.206982565
    2.052846847    4.869540682    4.869540666    3.204408516
    2.062855856    4.859766253    4.859766237    3.201829478
    2.072864865    4.850006902    4.850006885    3.199245516
    2.082873874    4.840262837    4.840262821    3.196656698
    2.092882883    4.830534265    4.830534248    3.194063091
    2.102891892    4.820821385    4.820821368    3.191464762
    2.112900901    4.811124395    4.811124379    3.188861776
    2.122909910    4.801443488    4.801443472    3.186254199
    2.132918919    4.791778852    4.791778836    3.183642098
    2.142927928    4.782130673    4.782130657    3.181025537
    2.152936937    4.772499132    4.772499116    3.178404583
    2.162945946    4.762884405    4.762884390    3.175779299
    2.172954955    4.753286667    4.753286651    3.173149750
    2.182963964    4.743706086    4.743706070    3.170516001
    2.192972973    4.734142828    4.734142813    3.167878116
    2.202981982    4.724597057    4.724597041    3.165236158
    2.212990991    4.715068929    4.715068913    3.162590191
    2.223000000    4.705558601    4.705558585    3.159940278
    2.233009009    4.696066223    4.696066208    3.157286482
    2.243018018    4.686591944    4.686591929    3.154628865
    2.253027027    4.677135909    4.677135894    3.151967490
    2.263036036    4.667698258    4.667698243    3.149302420
    2.273045045    4.658279129    4.658279114    3.146633714
    2.283054054    4.648878657    4.648878642    3.143961436
    2.293063063    4.639496973    4.639496959    3.141285646
    2.303072072    4.630134206    4.630134191    3.138606405
    2.313081081    4.620790479    4.620790465    3.135923773
    2.323090090    4.611465916    4.611465901    3.133237811
    2.333099099    4.602160633    4.602160619    3.130548578
    2.343108108    4.592874748    4.592874734    3.127856135
    2.353117117    4.583608373    4.583608358    3.125160540
    2.363126126    4.574361617    4.574361603    3.122461853
    2.373135135    4.565134587    4.565134573    3.119760133
    2.383144144    4.555927388    4.555927374    3.117055437
    2.393153153    4.546740119    4.546740105    3.114347824
    2.403162162    4.537572880    4.537572866    3.111637351
    2.413171171    4.528425766    4.528425752    3.108924077
    2.423180180    4.519298870    4.519298856    3.106208058
    2.433189189    4.510192281    4.510192267    3.103489351
    2.443198198    4.501106088    4.501106074    3.100768014
    2.453207207    4.492040374    4.492040361    3.098044101
    2.463216216    4.482995223    4.482995210    3.095317669
    2.473225225    4.473970714    4.473970701    3.092588775
    2.483234234    4.464966925    4.464966911    3.089857472
