# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    4.915423423    5.499573262    5.499573056    5.548583404
    4.925432432    5.276751078    5.276750747    5.805374365
    4.935441441    5.066786478    5.066786025    6.063264040
    4.945450450    4.921104429    4.921103903    6.296940950
    4.955459459    4.851808976    4.851808476    6.487052891
    4.965468468    4.824206110    4.824205779    6.632703120
    4.975477477    4.782242746    4.782242704    6.744341691
    4.985486486    4.693390753    4.693391006    6.838365012
    4.995495495    4.574030915    4.574031353    6.933167803
    5.005504505    4.467807246    4.467807728    7.041816543
    5.015513514    4.402648332    4.402648752    7.168588179
    5.025522523    4.367281198    4.367281496    7.307387541
    5.035531532    4.324083760    4.324083908    7.446446555
    5.045540541    4.248196562    4.248196571    7.578564104
    5.055549550    4.153262735    4.153262640    7.696612989
    5.065558559    4.075884805    4.075884662    7.774089742
    5.075567568    4.044497667    4.044497537    7.773371713
    5.085576577    4.065139942    4.065139887    7.695635512
    5.095585586    4.127609972    4.127610027    7.605350161
    5.105594595    4.222005750    4.222005903    7.586345401
    5.115603604    4.350578714    4.350578922    7.683135034
    5.125612613    4.521205336    4.521205557    7.877153159
    5.135621622    4.726652193    4.726652400    8.094281026
    5.145630631    4.931633845    4.931634020    8.239775308
    5.155639640    5.080109995    5.080110114    8.255916685
    5.165648649    5.116992389    5.116992424    8.154545839
    5.175657658    5.016694070    5.016694008    7.982188933
    5.185666667    4.806616064    4.806615922    7.768853777
    5.195675676    4.558842975    4.558842780    7.530124124
    5.205684685    4.348067832    4.348067604    7.298684668
    5.215693694    4.213209229    4.213208984    7.125524645
    5.225702703    4.145721839    4.145721597    7.048437458
    5.235711712    4.100573763    4.100573556    7.069637384
    5.245720721    4.026300326    4.026300176    7.167193007
    5.255729730    3.904104405    3.904104302    7.320477445
    5.265738739    3.763369977    3.763369880    7.516271294
    5.275747748    3.657144978    3.657144841    7.739768297
    5.285756757    3.628767175    3.628766969    7.969614065
    5.295765766    3.697886933    3.697886652    8.173591470
    5.305774775    3.860507599    3.860507261    8.316764214
    5.315783784    4.092207208    4.092206847    8.397640020
    5.325792793    4.354256037    4.354255694    8.471609989
    5.335801802    4.600770991    4.600770702    8.626982579
    5.345810811    4.781682440    4.781682245    8.942521346
    5.355819820    4.850874268    4.850874197    9.452970183
    5.365828829    4.784469776    4.784469818   10.127332322
    5.375837838    4.591834290    4.591834383   10.873168780
    5.385846847    4.308829766    4.308829860   11.579963017
    5.395855856    3.978334699    3.978334805   12.170993982
    5.405864865    3.634430793    3.634430954   12.607477418
    5.415873874    3.303400681    3.303400903   12.859607794
    5.425882883    3.009668424    3.009668670   12.909934166
    5.435891892    2.771706029    2.771706257   12.793378259
    5.445900901    2.595490154    2.595490340   12.610869276
    5.455909910    2.475204370    2.475204505   12.468432125
    5.465918919    2.400014858    2.400014940   12.390366309
    5.475927928    2.361659549    2.361659575   12.310408627
    5.485936937    2.357093587    2.357093545   12.155483857
    5.495945946    2.386449193    2.386449070   11.916356499
    5.505954955    2.452386524    2.452386312   11.627659275
    5.515963964    2.560163856    2.560163555   11.313716056
    5.525972973    2.712378853    2.712378474   10.973582959
    5.535981982    2.899828153    2.899827723   10.604551067
    5.545990991    3.097497644    3.097497208   10.226321842
