 &plot nbnd=  20, nks=   121 /
   -3.156   -2.267   -0.319    1.575    2.913    3.208    4.560    6.778    7.774    9.233
            0.362500  0.526832  0.000000
  -61.065  -35.328  -35.247  -35.155  -12.190  -12.101   -5.548   -5.001   -4.122   -3.613
   -3.140   -2.284   -0.301    1.549    2.898    3.233    4.580    6.817    7.695    9.258
            0.358333  0.534049  0.000000
  -61.064  -35.324  -35.252  -35.155  -12.184  -12.097   -5.561   -4.956   -4.141   -3.658
   -3.125   -2.301   -0.284    1.525    2.885    3.255    4.597    6.855    7.621    9.281
            0.354167  0.541266  0.000000
  -61.064  -35.321  -35.256  -35.154  -12.178  -12.094   -5.572   -4.912   -4.164   -3.694
   -3.111   -2.316   -0.268    1.504    2.875    3.275    4.612    6.892    7.553    9.303
            0.350000  0.548483  0.000000
  -61.064  -35.318  -35.260  -35.154  -12.174  -12.091   -5.582   -4.872   -4.191   -3.720
   -3.099   -2.330   -0.255    1.486    2.867    3.292    4.623    6.926    7.493    9.322
            0.345833  0.555700  0.000000
  -61.064  -35.315  -35.264  -35.154  -12.170  -12.089   -5.589   -4.837   -4.219   -3.739
   -3.088   -2.341   -0.244    1.471    2.861    3.305    4.632    6.956    7.443    9.337
            0.341667  0.562917  0.000000
  -61.064  -35.313  -35.266  -35.154  -12.167  -12.088   -5.595   -4.809   -4.243   -3.750
   -3.081   -2.350   -0.235    1.461    2.856    3.315    4.639    6.979    7.404    9.349
            0.337500  0.570133  0.000000
  -61.064  -35.312  -35.268  -35.154  -12.165  -12.087   -5.598   -4.791   -4.260   -3.756
   -3.076   -2.355   -0.230    1.454    2.854    3.322    4.643    6.994    7.380    9.357
            0.333333  0.577350  0.000000
  -61.064  -35.311  -35.269  -35.154  -12.165  -12.087   -5.599   -4.784   -4.266   -3.758
   -3.074   -2.357   -0.228    1.452    2.853    3.324    4.644    6.999    7.372    9.360
            0.325000  0.562917  0.000000
  -61.064  -35.313  -35.266  -35.154  -12.167  -12.088   -5.594   -4.809   -4.241   -3.752
   -3.081   -2.349   -0.236    1.461    2.856    3.315    4.639    6.984    7.399    9.348
            0.316667  0.548483  0.000000
  -61.064  -35.317  -35.261  -35.154  -12.175  -12.092   -5.580   -4.869   -4.179   -3.736
   -3.101   -2.326   -0.259    1.488    2.863    3.288    4.626    6.959    7.464    9.313
            0.308333  0.534049  0.000000
  -61.064  -35.322  -35.253  -35.155  -12.188  -12.099   -5.556   -4.944   -4.098   -3.711
   -3.132   -2.289   -0.296    1.532    2.873    3.243    4.604    6.943    7.546    9.253
            0.300000  0.519615  0.000000
  -61.065  -35.327  -35.245  -35.155  -12.208  -12.108   -5.523   -5.020   -4.015   -3.673
   -3.171   -2.240   -0.345    1.590    2.885    3.180    4.577    6.944    7.636    9.172
            0.291667  0.505181  0.000000
  -61.065  -35.331  -35.236  -35.156  -12.233  -12.121   -5.479   -5.093   -3.942   -3.618
   -3.215   -2.183   -0.403    1.656    2.896    3.103    4.546    6.964    7.730    9.073
            0.283333  0.490748  0.000000
  -61.066  -35.334  -35.227  -35.157  -12.265  -12.136   -5.425   -5.157   -3.887   -3.542
   -3.261   -2.120   -0.467    1.726    2.905    3.012    4.511    7.002    7.826    8.961
            0.275000  0.476314  0.000000
  -61.066  -35.336  -35.217  -35.158  -12.304  -12.154   -5.361   -5.211   -3.850   -3.448
   -3.307   -2.052   -0.534    1.796    2.910    2.912    4.476    7.058    7.918    8.837
            0.266667  0.461880  0.000000
  -61.067  -35.336  -35.208  -35.160  -12.349  -12.175   -5.287   -5.254   -3.826   -3.352
   -3.342   -1.982   -0.602    1.862    2.807    2.910    4.440    7.128    8.001    8.706
            0.258333  0.447446  0.000000
  -61.068  -35.336  -35.198  -35.161  -12.400  -12.198   -5.286   -5.205   -3.814   -3.393
   -3.228   -1.911   -0.668    1.918    2.702    2.903    4.406    7.208    8.065    8.568
            0.250000  0.433013  0.000000
  -61.069  -35.334  -35.189  -35.163  -12.457  -12.223   -5.307   -5.113   -3.810   -3.430
   -3.112   -1.839   -0.731    1.960    2.602    2.889    4.373    7.295    8.093    8.425
            0.241667  0.418579  0.000000
  -61.070  -35.331  -35.179  -35.165  -12.520  -12.251   -5.317   -5.012   -3.813   -3.461
   -2.994   -1.767   -0.788    1.982    2.514    2.867    4.341    7.382    8.079    8.278
            0.233333  0.404145  0.000000
  -61.071  -35.327  -35.170  -35.168  -12.588  -12.280   -5.317   -4.904   -3.824   -3.487
